2014/10/02                                                                                                   Regional Medical Associates - Hamilton                                                                                                     PAGE   1

  Doc   Dept    Doc   Doc Name                   Doc   Comp       Amt Mtd       Amt Ytd
  521     2      14   RICCI MED PROF CORP        C     PAYEFT      5,880.33    625,402.69
  522     1       5   SWINSON                    R     PAYEFT           .00    108,000.00
  523     1       3   CHU MED PROF CORP          FV    PAYEFT           .00    790,000.00
  526     1       5   SPINNER                    MR    PAYEFT           .00     38,401.13
  52C     2      34   FOLEY MED PROF CORP        SR    PAYEFT     34,678.29    107,317.62
  52E     2      44   OWEN MED PROF CORP         J     PAYEFT      1,762.18     20,657.35
  52J     1       7   GOLDFARB MED PROF CORP     DM    PAYEFT           .00      2,674.00
  532     1       5   VAN AMERINGEN              M     PAYEFT           .00    185,000.00
  536     1      23   PRANGLEY                   K     PAYEFT           .00     71,849.99
  539     2      14   KONDRA                     PM    PAYEFT           .00     29,304.22
  53A     2      14   DESAI                      H     PAYEFT           .00     20,238.12
  53C     2      36   ROSS MED PROF CORP         CA    PAYEFT           .00     33,188.13
  53E     2      41   SENNIK MED PROF CORP       S     PAYEFT         99.73     39,987.56
  53F     2      14   BHAN                       H     PAYEFT           .00     87,811.09
  53H     1       4   IQBAL                      M     PAYEFT           .00     95,833.00
  541     1       5   MANCINI                    C     PAYEFT           .00    155,676.00
  546     2      14   FERENCZ                    J     PAYEFT           .00     16,586.92
  548     2      14   ROTSTEIN                   EA    PAYEFT      3,462.40     65,651.32
  54A     2      14   DICKSON                    L     PAYEFT           .00      3,931.83
  54C     2      14   ONORATO MED PROF CORP      L     PAYEFT           .00    384,280.54
  54E     2      44   SENNIK MED PROF CORP       S     PAYEFT      1,319.85     25,712.54
  54F     1      75   BHATT                      M     PAYEFT           .00     15,903.91
  54J     1      75   ZUBAIRI                    MS    PAYEFT           .00      1,350.00
  552     1       4   LIMA MED PROF CORP         H     PAYEFT           .00    220,000.00
  558     1       1   ALLABY MED PROF CORP       C     PAYEFT           .00    119,720.00
  55C     1       4   WEITZ MED PROF CORP        JI    PAYEFT           .00    125,000.00
  55E     1       4   TOUGAS MED PROF CORP       M     PAYEFT           .00    339,000.00
  55F     1      75   BHAN                       H     PAYEFT           .00     21,254.45
  55H     2      14   DILL MED PROF CORP         JR    PAYEFT     33,902.37    214,717.32
  560     2      14   ZAMORA                     EN    PAYEFT           .00     49,542.62
  567     1       3   AYENI MED PROF CORP        O     PAYEFT           .00    314,161.00
  56C     1       4   KRAEKER MED PROF CORP      C     PAYEFT           .00    210,000.00
  56E     1       7   EL GOUHARY                 E     PAYEFT           .00     27,766.68
  56F     1       6   BRENNAN MED PROF CORP      B     PAYEFT           .38    181,145.00
  57C     2      14   EDGAR MED PROF CORP        A     PAYEFT      5,803.36    228,930.17
  57E     1       3   PAMPALONI                  F     PAYEFT           .00     50,000.02
  57F     2      36   TRUS                       M     PAYEFT           .00      1,778.71
  57H     2      14   ROBLES                     I     PAYEFT     18,976.58     40,613.32
  57J     2      14   DINGLE                     JA    PAYEFT     11,337.18     11,337.18
  582     2      14   HATTERSLEY                 BA    PAYEFT     24,212.70    326,088.70
  584     2      14   MATHE                      CT    PAYEFT           .00     73,125.98
  585     2      14   EL-SHEIKH MED PROF CORP    YS    PAYEFT     16,104.58    481,476.80
  586     1       3   DYUB MED PROF CORP         AMA   PAYEFT           .00    480,000.00
  588     1       4   MOAYYEDI                   P     PAYEFT           .00     80,000.00
  58C     1      72   WAHI                       G     PAYEFT           .00    129,800.00
  58E     1       1   REDWOOD-CAMPBELL MED PRO   L     PAYEFT           .00    105,694.00
  58F     1      74   BHATT                      M     PAYEFT           .00      2,400.00
  58H     2      14   KLEIN MED PROF CORP        B     PAYEFT      3,476.45     42,608.81
  58J     1      75   KEOGH MED PROF CORP        KK    PAYEFT           .00      1,000.00
  590     1       7   BRILL MED PROF CORP        H     PAYEFT           .00    119,424.50
  592     2      14   RAGBEER MED PROF CORP      M     PAYEFT           .00      5,944.82
  597     1      75   BRILL MED PROF CORP        H     PAYEFT        141.34     46,824.36
  598     1       5   KATES                      N     PAYEFT           .00     66,382.00
  59C     1       7   BATTHISH                   M     PAYEFT           .97     59,484.00
  59E     2      44   CHAN                       T     PAYEFT      7,765.75     36,262.73
  59F     1      76   BHATT                      M     PAYEFT           .00      2,722.39
  59H     1      75   KLEIN MED PROF CORP        BJ    PAYEFT           .00     24,381.75
  59J     1       4   CHAGLA                     Z     PAYEFT           .00     14,583.00
  602     2      14   ARCISZEWSKA                H     PAYEFT      1,799.54     59,643.82
  606     1       6   MOHIDE                     PT    PAYEFT           .00    103,754.04
  60E     1       2   CORDOVANI                  D     PAYEFT           .00    104,999.99
  60F     2      14   TURCAN                     R     PAYEFT      1,715.90     65,215.92
  610     1       7   BELOSTOTSKY                V     PAYEFT      8,300.00    248,288.00
  612     1      72   LADHANI MED PROF CORP      M     PAYEFT           .00    311,000.00
  619     2      14   REGENSTREIF                L     PAYEFT           .00        148.75
  61C     1       4   TANDON MED PROF CORP       V     PAYEFT           .00    274,100.00
  61E     2      41   SHAIKH                     VM    PAYEFT           .00     15,564.55
  61F     2      14   HART                       PD    PAYEFT           .00     22,127.48
  61H     1      75   TANG                       P     PAYEFT           .00     36,690.60
  627     2      14   SEELEY                     R     PAYEFT           .00      7,191.23
  629     2      14   SIEKIERSKI                 M     PAYEFT           .00     33,352.14
  62E     2      44   SHAIKH                     V     PAYEFT           .00      9,818.60
  62F     1       3   AJANI                      O     PAYEFT           .00    175,000.00
  62H     1      75   KATHURIA                   S     PAYEFT           .00     10,335.70
  631     2      14   SHANKARDASS                K     PAYEFT        725.00     33,658.36
  632     1       7   MCASSEY                    K     PAYEFT           .00    207,986.38
  63C     1      23   KENNY-SCHERBER MED PROF    C     PAYEFT           .00     44,073.86
  63F     2      14   JOSEPH MED PROF CORP       G     PAYEFT      9,163.85     80,791.36
  63H     1      75   SOLH                       Z     PAYEFT           .00      2,065.32
  648     2      14   VAREY                      P     PAYEFT      3,239.88     76,022.94
  64C     1       4   SHARMA MED PROF CORP       M     PAYEFT           .00    143,000.00
  64E     2      14   STARODUB MED PROF CORP     JP    PAYEFT           .00    363,205.89
  64F     1      23   DAVIS MED PROF CORP        A     PAYEFT           .00     10,566.41
  64H     1       2   SMITH MED PROF CORP        R     PAYEFT           .30     66,667.00
  651     1       3   CENIC MED PROF CORP        A     PAYEFT           .00    444,000.00
  655     1      23   WIWCHARUK MED PROF CORP    G     PAYEFT           .00     50,056.09
  65C     1       4   BAW MED PROF CORP          B     PAYEFT           .00    215,607.11
  65E     1       3   CHOI MED PROF CORP         M     PAYEFT           .00    340,000.00
  65F     1       3   KLURFAN MED PROF CORP      P     PAYEFT           .00    200,000.06
  65H     1       1   SIU MED PROF CORP          H     PAYEFT           .00     62,500.00
  661     1      75   ABDURRAHMAN                ZB    PAYEFT           .00     30,164.28
  665     1       7   CARTER MED PROF CORP       T     PAYEFT           .00    153,000.00
  668     2      15   DAVIS MED PROF CORP        C     PAYEFT           .00    102,123.86
  66C     1       7   WILLIAMS MED PROF CORP     C     PAYEFT      3,999.99    157,400.00
  66E     1       5   AKINTAN MED PROF CORP      OO    PAYEFT           .00    311,276.00
  67C     2      42   BAW MED PROF CORP          B     PAYEFT        172.37    138,629.28
  67E     1       6   LAROCHE                    A     PAYEFT           .00    103,305.11
  67F     1       5   COUTURIER MED PROF CORP    J     PAYEFT           .00     93,333.00
  67H     1       4   CHUNG MED PROF CORP        H     PAYEFT           .00     42,500.00
  688     1      75   GOLDFARB                   D     PAYEFT           .00      1,483.17
  68E     1       3   YANG MED PROF CORP         I     PAYEFT           .00    257,500.00
  68F     1       3   GUNNARSSON MED PROF CORP   T     PAYEFT           .28    162,755.00
  698     2      14   VISRAM MED PROF CORP       FM    PAYEFT           .00    577,319.10
  699     2      14   MESSIEH                    M     PAYEFT           .00     19,082.32
  69C     2      14   REGENSTREIF MED PROF COR   L     PAYEFT           .00        274.68
  69E     2      14   JOHNSON                    K     PAYEFT      2,165.24     18,092.29
  69F     1       6   MORAIS MED PROF CORP       M     PAYEFT           .00    160,000.00
  704     1       3   FAIDI MED PROF CORP        S     PAYEFT           .00    264,000.00
  705     1       7   MARRIN                     M     PAYEFT           .00     46,999.98
  709     1       4   NAIR                       P     PAYEFT           .00     85,000.00
  70E     2      14   GHANNY                     S     PAYEFT      7,053.31    245,850.69
  70F     1       4   AL-HAZZANI                 WA    PAYEFT           .00    134,167.00
  711     2      14   PADGETT                    RW    PAYEFT           .00      2,848.46
  71E     1       2   HO                         E     PAYEFT           .33    205,000.00
  71F     2      14   TITTLEY MED PROF CORP      J     PAYEFT           .00        958.61
  722     1       3   FAIDI MED PROF CORP        S     PAYEFT     13,714.66    128,690.82
  723     1       1   ALIU-BERISHA               S     PAYEFT           .00     45,591.99
  728     1       3   FINLEY MED PROF CORP       CJ    PAYEFT           .00    650,000.04
  729     2      14   GAGARINE MED PROF CORP     A     PAYEFT     22,507.05    494,331.95
  72E     1       3   VANDERBEEK                 L     PAYEFT           .00     97,849.50
  72F     1       4   SRIGLEY MED PROF CORP      J     PAYEFT           .00     85,333.00
  732     1       7   SAIGAL                     S     PAYEFT           .00     90,000.00
  733     1       4   INGRAM MED PROF CORP       AJ    PAYEFT          2.68    311,574.00
  734     1       3   HODGSON MED PROF CORP      NC    PAYEFT           .00    325,000.05
  736     1       7   PEDDER                     L     PAYEFT           .00    114,000.00
  73E     1       1   BROWN                      M     PAYEFT           .00     73,808.00
  73F     1       4   REINISCH                   W     PAYEFT           .28     76,667.00
  73H     2      14   SERGEANT MED PROF CORP     M     PAYEFT      3,406.55     20,204.78
  740     2      14   BADAWI                     AKA   PAYEFT           .00     72,221.38
  742     1       7   ROSENBAUM                  PL    PAYEFT           .00     33,600.00
  744     2      14   GUSCOTT MED PROF CORP      J     PAYEFT         35.45    210,655.48
  74E     1       1   STARRATT                   C     PAYEFT           .00      7,839.99
  74F     1       4   REINISCH                   S     PAYEFT           .00    120,000.00
  759     2      14   ENNIS                      J     PAYEFT      5,524.15    115,668.01
  75A     1       4   SCHULMAN MED PROF CORP     S     PAYEFT           .00    100,000.00
  75C     1       4   SCHUNEMANN MED PROF CORP   H     PAYEFT           .00     40,000.00
  75E     1       2   KOSTANDOFF                 G     PAYEFT           .00     80,000.02
  761     1       4   TO MED PROF CORP           K     PAYEFT           .00    189,511.11
  765     1      73   PAES                       B     PAYEFT           .00     35,000.00
  76E     1       7   TWISS                      J     PAYEFT           .00    149,999.99
  76F     2      14   TSANG                      M     PAYEFT      4,399.22     21,960.59
  76H     2      14   BOLLEGALA                  N     PAYEFT           .00     29,127.28
  76J     1       3   AJANI MED PROF CORP        O     PAYEFT           .00     25,000.00
  770     1       4   PUGLIA MED PROF CORP       M     PAYEFT           .00    285,000.00
  773     1       7   DENT                       PB    PAYEFT           .00     95,480.42
  77C     2      14   MILLER MED PROF CORP       PQ    PAYEFT           .00     19,615.21
  77E     1       7   PUGH                       JE    PAYEFT     14,000.00     95,800.00
  77F     2      14   SALIH MED PROF CORP        B     PAYEFT           .00     13,020.37
  77H     1       1   DUFF MED PROF CORP         S     PAYEFT      1,008.68     19,624.86
  780     2      14   MULJI MED PROF CORP        AS    PAYEFT           .00    175,594.22
  781     1       4   DOUKETIS                   J     PAYEFT           .00     80,000.00
  787     2      14   WELSFORD MED PROF CORP     M     PAYEFT           .00      3,212.27
  78C     1       4   MUNIZ MED PROF CORP        F     PAYEFT           .00    129,833.00
  78E     2      14   CHEUNG                     W     PAYEFT           .00        602.48
  78H     2      14   DUFF MED PROF CORP         S     PAYEFT           .00     53,888.56
  792     1       5   HARMS MED PROF CORP        S     PAYEFT     14,657.50    185,347.19
  797     1       1   TROLLOPE                   K     PAYEFT     23,255.10    178,747.56
  79H     1       4   NG                         KH    PAYEFT           .28     66,667.00
  805     1       5   BOYLAN MED PROF CORP       K     PAYEFT           .00    150,000.00
  80A     2      14   PERNICA                    J     PAYEFT           .00      4,663.94
  80C     2      14   GEE                        S     PAYEFT           .00    149,358.29
  80F     2      14   SHAW                       E     PAYEFT           .00     59,931.61
  80H     1       5   AKHTAR                     N     PAYEFT           .00     52,500.00
  817     1       7   MALCOLMSON                 C     PAYEFT           .00      5,643.88
  81C     1       7   NWEBUBE MED PROF CORP      A     PAYEFT           .00     51,800.00
  81E     1       7   MARJERRISON                S     PAYEFT           .00    187,500.00
  825     2      41   PRICE MED PROF CORP        IM    PAYEFT        131.29     61,817.55
  826     2      44   PRICE MED PROF CORP        IM    PAYEFT      4,876.79     87,249.43
  828     1       7   CELLUCCI                   T     PAYEFT           .00    165,000.00
  82C     2      14   NEFFATI                    A     PAYEFT           .00    110,913.01
  82E     2      14   ALGAWAHMED                 H     PAYEFT      2,426.06    155,125.53
  82F     2      14   ALRADWAN                   H     PAYEFT           .00    149,656.23
  82H     1       6   COSTESCU MED PROF CORP     D     PAYEFT           .28     76,667.00
  831     1       1   RISDON                     C     PAYEFT           .00    109,514.00
  833     1      23   STEEN                      R     PAYEFT           .00     65,205.14
  83C     1      75   SEHDEV MED PROF CORP       DS    PAYEFT        211.75     46,810.32
  83E     1       4   NEIGHBOUR MED PROF CORP    H     PAYEFT           .00     82,000.00
  83F     2      14   DAVIS MED PROF CORP        I     PAYEFT     13,674.24    149,154.53
  841     1      75   LIN MED PROF CORP          D     PAYEFT           .00      1,133.31
  843     1      23   MAWHINNEY                  L     PAYEFT           .00     13,641.11
  847     1       3   SINGH MED PROF CORP        S     PAYEFT           .00     88,817.17
  848     1       4   KEITH                      PK    PAYEFT           .00    107,916.65
  84C     1       4   LANZINI                    R     PAYEFT           .00    155,000.00
  84E     2      14   DEVRAJ                     A     PAYEFT           .00     69,212.01
  84F     1       7   SOMANI MED PROF CORP       A     PAYEFT           .00    107,500.00
  852     1       1   MACNAY MED PROF CORP       R     PAYEFT        404.68        404.68
  853     1      17   KINZIE                     S     PAYEFT           .00      4,434.39
  85A     2      36   KAUR                       H     PAYEFT           .00      2,455.31
  85E     1       5   MATSOS                     L     PAYEFT           .00     41,666.68
  864     2      14   DEADMAN                    JC    PAYEFT      1,557.09     29,679.75
  867     1       1   LEVITT                     CA    PAYEFT           .00     86,529.96
  86C     1      73   ABDURRAHMAN                ZB    PAYEFT           .00     29,981.53
  86E     1       3   HANNA MED PROF CORP        W     PAYEFT           .00    320,833.00
  86F     2      24   AL JISHI                   A     PAYEFT           .00     73,389.20
  86H     1       4   LI MED PROF CORP           Y     PAYEFT           .00     80,000.00
  871     1       3   CYBULSKY                   I     PAYEFT           .00    320,000.05
  873     1       4   HEALEY                     J     PAYEFT           .00    160,000.00
  875     1       6   BEST MED PROF CORP         C     PAYEFT           .00     85,282.00
  876     2      14   HAWISA                     NI    PAYEFT           .00      2,919.26
  877     2      41   SEHDEV MED PROF CORP       DS    PAYEFT        124.58     88,524.08
  878     2      14   SEHDEV MED PROF CORP       DS    PAYEFT           .00     18,278.71
  87A     1       5   SASSI MED PROF CORP        R     PAYEFT           .00    150,000.00
  87C     1       4   MORILLO MED PROF CORP      L     PAYEFT           .00    190,000.00
  87E     1      75   PARDHAN MED PROF CORP      A     PAYEFT        308.30     32,437.85
  87F     2      14   ALGHAMDI                   K     PAYEFT           .00     42,450.37
  87H     1      75   BALAKRISHNAN               S     PAYEFT           .00      6,787.28
  884     1       3   REID MED PROF CORP         SE    PAYEFT           .00    195,000.00
  885     1       3   REID MED PROF CORP         SE    PAYEFT        381.60     18,085.48
  887     1       7   HARMAN                     KE    PAYEFT           .00    142,400.00
  88A     2      14   TUNKS MED PROF CORP        E     PAYEFT           .00    213,547.55
  88E     2      41   PARDHAN MED PROF CORP      A     PAYEFT        389.87    124,014.64
  88F     1      75   LOUBANI MED PROF CORP      E     PAYEFT           .00     58,333.00
  88H     2      14   OWEN MED PROF CORP         J     PAYEFT      1,445.28      7,169.51
  893     1       1   ZAMMIT-MAEMPEL             J     PAYEFT           .00     24,000.00
  895     1       6   CHAMBERLAIN                J     PAYEFT           .00     18,333.32
  896     2      44   SEHDEV MED PROF CORP       DS    PAYEFT           .00      7,284.03
  899     2      15   JICHICI                    D     PAYEFT           .00    316,640.65
  89C     2      14   DANTER MED PROF CORP       M     PAYEFT           .00    578,282.43
  89E     2      44   PARDHAN MED PROF CORP      A     PAYEFT           .00     16,594.95
  89F     1      75   LOUBANI MED PROF CORP      E     PAYEFT        394.01     18,250.97
  89H     1       4   YUAN MED PROF CORP         G     PAYEFT           .00     28,333.00
  901     1       5   SAPERSON (GOLDBERG CORP)   K     PAYEFT           .00     60,000.00
  903     2      14   COWAN                      DD    PAYEFT           .00     11,967.93
  906     1       1   GIGLIA                     L     PAYEFT        199.32        199.32
  909     1       3   CAMERON MED PROF COR       BH    PAYEFT           .00    270,000.00
  90A     2      14   ABDURRAHMAN                Z     PAYEFT           .00     17,542.04
  90C     2      14   LAMONT MED PROF CORP       J     PAYEFT        152.60    130,643.87
  90E     1      75   PARDHAN MED PROF CORP      A     PAYEFT           .00     70,587.00
  90F     2      14   CHAUBEY                    V     PAYEFT           .00     28,428.57
  913     2      41   SINGH MED PROF CORP        J     PAYEFT         49.86     49,548.95
  914     1       5   HASEY                      G     PAYEFT           .00     90,000.00
  915     1       1   CHAN                       D     PAYEFT           .00     71,390.00
  917     2      14   HARVEY MED PROF CORP       D     PAYEFT      1,287.07     89,107.01
  91A     2      14   WIWCHARUK MED PROF CORP    GL    PAYEFT           .00      1,638.59
  91E     1       4   PAPAIOANNOU MED PROF COR   A     PAYEFT           .00    185,833.00
  91F     1      75   RANGANATHAN                M     PAYEFT           .00     14,074.22
  91H     1       1   MILLARD MED PROF CORP      JA    PAYEFT      6,946.00     14,091.32
  920     1      75   KLEIN                      BJ    PAYEFT           .00     14,346.67
  923     1       4   CIVIDINO MED PROF CORP     A     PAYEFT           .00    355,000.00
  929     1       3   FLAGEOLE MED PROF CORP     H     PAYEFT           .00    276,000.00
  92A     1       7   ABDUL WAHAB                MG    PAYEFT           .28    170,488.00
  92C     1       4   BRAGA MED PROF CORP        MFB   PAYEFT           .00    110,000.00
  92E     1       4   SYED MED PROF CORP         J     PAYEFT           .00    510,000.00
  92F     1       4   CHUI MED PROF              B     PAYEFT           .00    115,000.00
  932     1       3   RISTEVSKI                  B     PAYEFT           .23    250,167.00
  934     1      75   CROCCO                     AG    PAYEFT           .00      5,474.10
  938     2      14   LEONARD                    B     PAYEFT           .00     34,969.90
  939     1       4   SPAZIANI MED PROF CORP     R     PAYEFT           .00     46,981.00
  93A     1       7   SOMANI                     A     PAYEFT           .00     62,224.52
  93C     2      14   ELSHARIF MED PROF CORP     AA    PAYEFT      6,297.95     94,072.82
  93E     1       4   GRENNAN                    T     PAYEFT           .00    180,000.00
  94C     1      74   SHBASH MED PROF CORP       IAM   PAYEFT           .00    265,878.68
  94E     1       3   ESKICIOGLU                 C     PAYEFT           .22    161,250.32
  94F     1       1   MILLARD                    JA    PAYEFT           .00      5,738.00
  952     1      75   OROVEC MED PROF CORP       N     PAYEFT        116.20     81,542.00
  953     1       3   DEMARIA MED PROF CORP      J     PAYEFT           .00    336,996.00
  957     1      75   WISE MED PROF CORP         T     PAYEFT           .00      2,834.94
  958     2      14   NASSAR                     A     PAYEFT           .00      6,634.85
  95C     1      75   SHBASH MED PROF CORP       IAM   PAYEFT           .00     11,577.14
  95E     1      75   SOLANO                     T     PAYEFT           .00     94,734.94
  95F     1       7   CONNER                           PAYEFT      2,099.99     19,700.00
  95H     1      75   ABDURRAHMAN MED PROF COR   ZB    PAYEFT           .00      6,337.39
  965     1       4   WALSH MED PROF CORP        MW    PAYEFT           .33    220,000.00
  966     1       7   CALLEN MED PROF CORP       DJA   PAYEFT           .27    178,894.00
  968     2      14   PARRISH MED PROF CORP      M     PAYEFT           .00    441,349.32
  969     2      14   CHENG MED PROF CORP        T     PAYEFT      6,318.10     86,665.84
  96A     1      75   BABIC MED PROF CORP        B     PAYEFT           .00     16,489.11
  96E     1      75   SOLANO                     T     PAYEFT         78.04     24,758.92
  96H     1      73   ABDURRAHMAN MED PROF COR   ZB    PAYEFT      1,753.49     12,499.03
  970     2      14   BAIRD MED PROF CORP        D     PAYEFT     16,244.32    264,078.49
  973     2      14   JOWETT MED PROF CORP       J     PAYEFT           .00        133.75
  97C     1      75   RAMJI MED PROF CORP        T     PAYEFT           .00     11,964.36
  97E     1      75   CROCCO MED PROF CORP       AG    PAYEFT          1.30    197,434.00
  97F     1       1   BROWN                      M     PAYEFT           .00      1,741.57
  980     1       4   COX MED PROF CORP          PG    PAYEFT           .00    191,200.00
  981     2      14   BIENENSTOCK                A     PAYEFT      1,268.84     36,945.89
  983     2      14   EDWARDS MED PROF CORP      CD    PAYEFT           .00     46,880.03
  984     4      50   ARVINTE MED PROF CORP            PAYEFT           .00     27,749.25
  986     1       4   RAGHAVAN                   N     PAYEFT           .00     65,333.00
  987     2      14   KORZ MED PROF CORP         L     PAYEFT     14,457.75    237,134.03
  989     1       4   XENODEMETROPOULOS MED PR   T     PAYEFT           .00    215,000.00
  98A     1      74   BABIC MED PROF CORP        B     PAYEFT        202.48    278,431.74
  98C     1       3   BRAGA MED PROF CORP        L     PAYEFT           .00    345,996.00
  98E     1      75   CROCCO MED PROF CORP       AG    PAYEFT           .00     32,772.48
  98F     1      23   BROWN                      M     PAYEFT           .00     23,233.99
  996     2      14   VRAETS MED PROF CORP       AC    PAYEFT      5,342.32    334,181.59
  99A     1       4   GINSBERG MED PROF CORP     J     PAYEFT           .00     20,000.00
  99C     1      74   RAMJI MED PROF CORP        T     PAYEFT           .00     16,500.00
  99E     1       3   DEHESHI MED PROF CORP      BM    PAYEFT           .00    425,000.00
  99F     1      75   RAYAR                      S     PAYEFT         71.19     10,034.23
  B88     2      34   HAYWARD                    CPM   PAYEFT      1,184.89     13,341.71
  B91     2      34   NOWACZYK                   MJ    PAYEFT        229.31     15,037.70
  B92     2      34   POTTER                     MA    PAYEFT      5,544.46     26,209.53
  C04     2      36   WARKENTIN                  TE    PAYEFT         60.68     13,564.92
  C09     2      36   LOEB                       MB    PAYEFT           .00      9,427.58
  C26     2      14   HARVEY                     J     PAYEFT           .00      8,879.29
  C27     2      14   SEBALDT                    RJ    PAYEFT           .00     26,058.57
  C42     1       5   LEWIS                      M     PAYEFT           .00    125,000.00
  C49     1       5   LEVINSON                   A     PAYEFT           .00     18,000.00
  C64     1       3   BAILLIE MED PROF CORP      F     PAYEFT           .00    116,666.76
  C79     1      72   ROY MED PROF CORP          M     PAYEFT           .27    351,000.00
  C81     1       4   COWAN                      D     PAYEFT           .00     76,250.00
  C97     2      36   MAIN                       C     PAYEFT        803.93     17,165.33
  C99     2      38   TRUS                       M     PAYEFT     18,667.41     71,804.78
  D20     1       1   STEVENSON                  C     PAYEFT           .00    136,416.00
  D34     1       4   HANMIAH MED PROF CORP      R     PAYEFT           .00    320,000.00
  D36     2      14   MIZERA                     R     PAYEFT           .00    209,502.76
  D47     1       7   THOMPSON                   P     PAYEFT           .00      3,299.99
  D52     1       3   LOVRICS MED PROF CORP      PJ    PAYEFT           .00    194,750.00
  D54     1       3   GHERT                      M     PAYEFT           .00    170,000.05
  D58     2      38   CHETTY                     V     PAYEFT           .00        928.82
  D69     1       4   CARLISLE MED PROF CORP     E     PAYEFT          1.01    301,549.00
  D75     1       1   EVERSON                    JL    PAYEFT           .00     10,416.00
  D80     1       4   LUDWIN MED PROF CORP       D     PAYEFT           .66    288,296.00
  D81     1       4   WISMER MED PROF CORP       JEM   PAYEFT           .00     48,125.00
  D96     1       6   MCDONALD                   SD    PAYEFT           .00    120,000.00
  E25     1       4   MCIVOR                     AR    PAYEFT           .00    260,000.02
  E27     1       3   BHANDARI MED PRO CORP            PAYEFT           .00    170,000.00
  E46     1       4   SPENCER                    F     PAYEFT           .00     59,100.00
  E56     1       4   ALLEN                      C     PAYEFT           .00    100,000.00
  E64     2      14   BOYD                       K     PAYEFT     11,226.45    115,059.02
  E66     1       4   LONN MED PROF CORP         E     PAYEFT           .00    321,500.00
  E68     1       3   PIERCEY MED PROF CORP      K     PAYEFT           .00    300,000.00
  E72     1       4   WORSTER MED PROF CORP      A     PAYEFT           .00    133,000.05
  E74     2      14   SLAVEN                     M     PAYEFT     10,469.91    194,538.54
  E77     1       1   MARSHALL                   DI    PAYEFT           .00     61,445.21
  E78     1       1   OLIVER                     D     PAYEFT           .00    139,354.00
  E86     1       6   BRENNAN                    BG    PAYEFT           .00     30,190.74
  E88     1       4   HUNT MED PROF CORP         D     PAYEFT           .00    175,000.00
  E91     2      14   VANHELDER MED PROF CORP    T     PAYEFT     28,531.36    705,349.47
  E92     2      36   YAMAMURA                   DL    PAYEFT        582.91     28,973.13
  E99     2      14   CARR                       AC    PAYEFT        772.57     22,929.17
  F02     1       3   KLURFAN                    P     PAYEFT           .00     75,000.00
  F07     1       5   BRASCH MED PROF CORP       J     PAYEFT           .16     98,329.00
  F08     1       3   ANVARI MED PROF CORP       M     PAYEFT           .00    680,000.00
  F13     1       4   CONNOLLY MED PROF CORP     S     PAYEFT           .00    154,394.00
  F16     2      14   COLLINS                    S     PAYEFT      9,674.80    224,422.82
  F28     2      37   CUTZ                       JC    PAYEFT        510.56      4,264.86
  F33     2      37   GOHLA                      G     PAYEFT      5,170.34     20,180.33
  F35     2      36   LYTWYN                     A     PAYEFT           .00      5,285.16
  F39     2      36   RAMSAY                     JA    PAYEFT         92.66      8,050.13
  F43     2      37   SALAMA                     SS    PAYEFT      6,580.09     38,128.75
  F46     2      37   VINCIC                     LM    PAYEFT        699.96      3,304.79
  F50     1       3   OROVAN MED PROF CORP       WM    PAYEFT           .00    158,550.00
  F51     2      14   REDDY                      D     PAYEFT           .00    297,962.95
  F52     1       4   MORILLO MED PROF CORP      CA    PAYEFT           .00    300,000.00
  F54     1       3   FITZGERALD MED PROF CORP   P     PAYEFT           .00    207,375.00
  F56     2      14   HANKINSON                  J     PAYEFT      8,664.42    384,990.04
  F58     2      36   CHETTY                     VT    PAYEFT           .00      3,776.20
  F64     2      14   SAWCHUK MED PROF CORP      C     PAYEFT      3,598.02    520,637.20
  F68     1      23   IVANYI                     K     PAYEFT           .00     23,756.81
  F69     2      14   TURPIE                     ID    PAYEFT      2,395.95     71,064.10
  F80     1       4   NATARAJAN MED PROF CORP    M     PAYEFT           .00    400,000.00
  F81     1       7   ARORA MED PROF CORP        S     PAYEFT      9,401.67    283,235.00
  F82     1       4   TIBONI MED PROF CORP       M     PAYEFT           .00    234,000.00
  F91     2      34   SMAILL MED PROF CORP       FM    PAYEFT        527.48     17,826.48
  F94     1       3   PETRISOR MED PROF CORP     BA    PAYEFT           .00    205,000.00
  F99     1       4   ROKOSS MED PROF CORP       M     PAYEFT           .00    600,000.00
  G04     1       3   WINTER                     AL    PAYEFT           .00    220,833.00
  G05     1       4   SALENA MED PROF CORP       B     PAYEFT           .00    272,730.00
  G14     1       4   SOTH MED PROF CORP         M     PAYEFT           .00    406,000.00
  G19     1       3   STRUMAS MED PROF CORP      N     PAYEFT           .00    180,000.00
  G23     1       3   ADILI MED PROF CORP        A     PAYEFT           .00    634,000.00
  G27     1       4   SINGHAL                    N     PAYEFT           .00    121,000.00
  G30     1       3   WHELAN MED PROF CORP       JP    PAYEFT           .00    100,994.57
  G31     1       4   COOK MED PROF CORP         DJ    PAYEFT           .00    135,000.00
  G35     2      14   CHAMBERLAIN                D     PAYEFT      6,611.85    105,085.83
  G38     1       1   SHAW MED PROF CORP         E     PAYEFT           .00    125,105.00
  G40     1       7   MAHONEY MED PROF CORP      W     PAYEFT           .00    190,800.00
  G44     1       3   WALTON MED PROF CORP       JM    PAYEFT           .00    264,000.00
  G48     1      74   JOHNSON                    N     PAYEFT           .00     48,669.98
